date,index,location,location2,Grid,Plot,Way Point,GPS used,Tag #,Species,Ht (cm),Diameter stem 1,Diameter stem 2,Diameter stem 3,Diameter stem 4,Diameter stem 5,Diameter stem 6,Diameter stem 7,Diameter stem 8,# of stems,%,Age,Respr,% circum,Add circum,< 3m %,Age,% Regrow,Borers %,Fire (y/n),Toppled (y/n),Respr,Elephant (y/n),Alive (y/n),notes,Data entered by
28-May-16,89,Kruger National Park,Lower sabie,3,23,42,NI,,Acacia nigrescens,620,15.8,0,0,0,0,0,0,0,1,6,O,N,0,0,0,N/A,N/A,N/A,N,N,N/A,N,Y,,Tsego
28-May-16,90,Kruger National Park,Lower sabie,3,23,43,NI,,Acacia nigrescens,510,24.3,0,0,0,0,0,0,0,1,50,O,N,20,52,20.2,O,10,50,Y,N,N,Y,Y,,Tsego
28-May-16,91,Kruger National Park,Lower sabie,3,23,44,NI,,Acacia nigrescens,510,12,0,0,0,0,0,0,0,1,7,O,N,45,45,41,O,95,11,Y,N,N,Y,Y,,Tsego
28-May-16,92,Kruger National Park,Lower sabie,3,23,45,NI,,Combretum imberbe,1000,28.6,0,0,0,0,0,0,0,1,0,N/A,N/A,0,0,0,N/A,N/A,N/A,N,N,N/A,N,Y,,Tsego
28-May-16,93,Kruger National Park,Lower sabie,3,23,46,NI,,Acacia nigrescens,730,44,0,0,0,0,0,0,0,4,100,N,Y,12.5,40,20,O,60,50,Y,N,N,Y,Y,,Tsego
28-May-16,94,Kruger National Park,Lower sabie,3,25,58,NI,,Acacia nigrescens,1130,62.4,0,0,0,0,0,0,0,1,20,O,N,50,55,50,O,4,20,Y,N,N,Y,Y,,Tsego
28-May-16,95,Kruger National Park,Lower sabie,3,26,33,NI,,Acacia nigrescens,500,19,0,0,0,0,0,0,0,1,3,O,N,15,21,2,O,0,6,Y,N,N,Y,Y,,Tsego
28-May-16,96,Kruger National Park,Lower sabie,3,26,34,NI,,Acacia nigrescens,500,23.5,0,0,0,0,0,0,0,3,55,N,N,20,22,5,O,85,10,Y,N,N,Y,Y,,Tsego
28-May-16,97,Kruger National Park,Lower sabie,3,28,35,NI,,Acacia nigrescens,520,14.3,0,0,0,0,0,0,0,1,15,O,N,10,11,3,O,0,3,Y,N,N,Y,Y,,Tsego
28-May-16,98,Kruger National Park,Lower sabie,3,28,36,NI,,Acacia nigrescens,580,25,0,0,0,0,0,0,0,2,5,O,N,3,8,3.5,O,0,0,Y,N,N,Y,Y,,Tsego
